MachineID,Temperature,Pressure,Vibration,Humidity,RunTime,MaintenanceRequired,FaultCode,LastMaintenance,FailureCount
1,49.96320951,36.90811977,3.24128477,75.67890057,130.8612643,1,B,01-01-2023,1
2,96.05714451,41.86725589,0.861931811,56.26802409,16.00651395,1,C,01-01-2023,0
3,78.55951534,20.01871595,4.361972817,66.24551359,48.46596229,0,D,01-01-2023,0
4,67.89267874,34.99496398,3.065581195,51.8024149,154.7358693,1,E,01-01-2023,0
5,32.48149124,32.86983933,0.786019418,61.50172888,105.7371707,0,E,01-01-2023,1
6,32.47956163,43.31321507,4.811690287,47.02879687,185.5938124,1,E,01-01-2023,2
7,24.64668897,46.24348242,2.591827317,45.05795099,85.75028167,1,D,01-01-2023,1
8,89.29409166,10.48627086,0.364492259,58.91148931,173.9624732,1,D,01-01-2023,1
9,68.08920094,36.96079676,3.134164522,54.90648371,89.7910875,0,D,01-01-2023,2
10,76.64580622,12.07343196,1.265994535,58.97681846,195.8496557,0,C,01-01-2023,2
11,21.64675954,31.9543466,4.018467259,44.33302906,191.9668763,1,,01-01-2023,0
12,97.59278817,21.50530916,,48.34789159,65.82734111,1,A,01-01-2023,1
13,86.59541126,22.27106398,4.894736779,34.19489803,177.1847341,0,D,01-01-2023,1
14,36.98712885,24.11834014,2.509347655,32.61381861,169.5222748,0,B,01-01-2023,1
15,34.54599738,34.85169796,2.274784399,42.67285648,42.13607947,0,D,01-01-2023,0
16,34.67236079,23.36199863,3.767378027,33.71234297,124.8580802,1,A,01-01-2023,2
17,44.33937944,39.30796202,0.662353282,35.18873543,14.53646312,0,D,01-01-2023,1
18,61.98051453,26.18109542,2.734577569,70.64642027,167.3421441,0,B,01-01-2023,1
19,54.55560149,12.73412801,2.731238001,31.94368485,34.9091767,0,C,01-01-2023,0
20,43.29833122,41.3503937,0.447365614,62.9471397,14.16294028,0,A,01-01-2023,3
21,68.94823158,21.43033298,2.089920428,43.62788744,80.04381911,0,B,01-01-2023,0
22,31.15950885,27.31067518,4.266423993,73.57728404,115.3844277,0,E,01-01-2023,2
23,43.37157188,37.41775533,4.28076811,54.24961423,170.9833917,0,E,01-01-2023,2
24,49.30894746,23.29824629,0.496188325,45.27882297,194.8485051,1,E,01-01-2023,1
25,56.48559874,12.26342625,0.453604414,55.88194678,87.89850251,,C,02-01-2023,0
26,82.81407691,24.95684188,1.313477385,49.09790095,12.0893846,1,D,02-01-2023,6
27,35.97390257,47.77794331,4.373830313,58.21505323,,1,D,02-01-2023,1
28,61.13875507,35.66937589,0.644512925,,113.0346512,0,D,02-01-2023,2
29,67.39316551,36.85916595,3.599984013,79.84952514,89.57826897,1,C,02-01-2023,2
30,23.71603302,35.29128615,0.505828098,51.27779388,61.85377576,1,E,02-01-2023,
31,68.60358815,17.95968556,3.115689269,47.41153199,100.4797056,0,D,02-01-2023,1
32,33.64192989,26.73335456,,65.51049242,67.73592089,1,C,02-01-2023,1
33,25.20412744,40.03759193,3.944569815,48.19497032,151.4023735,0,C,02-01-2023,1
34,95.91084298,14.0549159,1.168452244,71.66371525,108.7787393,0,B,02-01-2023,1
35,97.25056265,21.11411104,3.196009147,52.71353622,175.3695548,0,D,02-01-2023,1
36,84.67178785,21.05276434,1.178412673,65.97792066,108.7087829,0,E,02-01-2023,3
37,44.36910153,27.2807571,3.568301416,35.37266082,47.65248267,0,A,02-01-2023,0
38,27.81376912,49.21474964,4.368390173,72.30595928,170.2183764,0,C,02-01-2023,1
39,74.73864212,12.70010187,0.634008996,66.78589934,111.443809,0,B,02-01-2023,1
40,55.2121995,30.74803978,4.332978443,40.58583892,41.36820763,1,A,02-01-2023,2
41,29.76305879,17.17458728,2.967876272,37.26430049,124.701562,0,C,02-01-2023,1
42,59.61415281,48.82706182,0.635552454,45.81461744,71.54335299,1,B,02-01-2023,0
43,22.75108169,14.53214019,2.137709277,78.8035293,168.8811225,0,D,02-01-2023,0
44,92.74563217,26.14404009,0.804301467,42.84157873,90.65994773,0,B,02-01-2023,2
45,40.70239853,39.51539939,3.501739444,52.80636045,,0,C,02-01-2023,0
46,73.00178275,38.18217712,3.794340672,31.50101129,19.10724153,1,D,02-01-2023,1
47,44.93688609,26.90914548,0.528982601,49.86137648,79.20486926,1,E,02-01-2023,0
48,61.60544169,23.86096672,2.530699263,58.56600077,196.6482873,1,B,02-01-2023,0
49,63.73682235,25.90449514,4.07312528,77.65623063,161.6920579,1,A,03-01-2023,1
50,34.78835644,20.57105053,4.680815208,55.83680225,31.98816047,1,D,03-01-2023,0
